city,stadium,long,lat,uefa capacity
Saint-Denis,Stade de France,48.924444,2.36,80000
Marseille,Stade Velodrome,43.269722,5.395833,67000
Lyon,Stade de Lyon,45.765278,4.981944,59000
Lille,Stade Pierre Mauroy,50.611883,3.130428,50000
Paris,Parc des Princes,48.841389,2.253056,45000
Bordeaux,Nouveau Stade de Bordeaux,44.897222,-0.561667,42000
Saint-Etienne,Stade Geoffrey-Geuichard,45.460833,4.390278,42000
Nice,Allianz Riviera,43.705139,7.192583,35000
Lens,Stade Boullaert-Delelis,50.432778,2.815,35000
Toulouse,Stadium Municipal,43.583056,1.434167,33000
